"modelId","brand","model","candidateOrExactCode","decision","sku","compatibilityUrl","shopifyAvailable","blocker"
"lg-dle3400w","LG","DLE3400W","DLE3400W.ABWETUS","blocked","","","false","Candidate listings do not establish whether the exact visible door-side part, rather than the cabinet catch or a door assembly, is the serviceable failed part."
"electrolux-elfe7637at","Electrolux","ELFE7637AT","ELFE7637AT0","blocked","","","false","A complete revision and strike candidates exist, but the reviewed authorized pages did not produce one unambiguous current exact-code-to-one-SKU row in the captured evidence chain."
"frigidaire-ffre4120sw","Frigidaire","FFRE4120SW","","blocked","","","false","The factory-certified family page lists cabinet-side door catch 5304511402, but the catalog identity is not a complete engineering revision and the visible door-side strike topology is not proved."
"hotpoint-htx24easkws","Hotpoint","HTX24EASKWS","HTX24EASK0WS","promotable","WE01M10007","https://www.geapplianceparts.com/store/parts/ModelSectionParts/HTX24EASK0WS/2/0/0/0/FRONT_PANEL_%26_DOOR","true",""
"ge-ptd70ebstws","GE","PTD70EBSTWS","PTD70EBST0WS","promotable","WE1X1192","https://www.geapplianceparts.com/store/parts/ModelSectionParts/PTD70EBST0WS/2/0/0/0/FRONT_PANEL_%26_DOOR","true",""
"ge-gtx33easkww","GE","GTX33EASKWW","GTX33EASK0WW","promotable","WE1X1192","https://www.geapplianceparts.com/store/parts/ModelSectionParts/GTX33EASK0WW/2/0/0/0/FRONT_PANEL_%26_DOOR","true",""
"hotpoint-htx26easwww","Hotpoint","HTX26EASWWW","HTX26EASW0WW","promotable","WE01M10007","https://www.geapplianceparts.com/store/parts/ModelSectionParts/HTX26EASW0WW/2/0/0/0/FRONT_PANEL_%26_DOOR","true",""
"maytag-med6230hw","Maytag","MED6230HW","MED6230HW0","blocked","","","false","Exact model parts results did not yield one separately serviceable visible door-side strike with an approved exact compatibility chain."
"maytag-med7230hw","Maytag","MED7230HW","MED7230HW0","blocked","","","false","Exact model parts results did not yield one separately serviceable visible door-side strike with an approved exact compatibility chain."
"amana-ned5800hw","Amana","NED5800HW","NED5800HW0","blocked","","","false","W11310031 is a strong exact-fit candidate, but the captured Whirlpool Parts model page did not expose the SKU row; retailer cross-references cannot replace the approved compatibility source."
"samsung-dve50t5300ca3","Samsung","DVE50T5300C/A3","DVE50T5300C/A3","blocked","","","false","The reviewed exact BOM exposes a whole door and a cabinet holder, not a separately serviceable visible door-side lever/strike matching Clunk's observation."
"lg-dlex4000w","LG","DLEX4000W","DLEX4000W.ABWEUUS","blocked","","","false","The exact diagram identifies a cabinet catch, not the visible door-side strike inspected by the current route."
"electrolux-elfe7337aw","Electrolux","ELFE7337AW","ELFE7337AW0","blocked","","","false","Strike 5304536127 is a strong candidate, but the reviewed factory-certified model page did not expose one captured exact-code-to-SKU row; third-party fit pages cannot be the compatibility source."
"frigidaire-flve7000aw","Frigidaire","FLVE7000AW","","blocked","","","false","No complete engineering revision plus one visible door-side SKU was proved from the reviewed primary/authorized sources."
"bosch-wtg86403uc01","Bosch","WTG86403UC/01","WTG86403UC/01","blocked","","","false","The exact compact-condensation parts view did not prove that a separately sold lock/switch candidate is the visible door-side strike; do not substitute cabinet-side or electromagnetic lock parts."
"ge-gtd38easwws","GE","GTD38EASWWS","GTD38EASW0WS","promotable","WE01M10007","https://partstore.encompass.com/model/HOTGTD38EASW0WS","true",""
"lg-dlex6500b","LG","DLEX6500B","DLEX6500B.ABLEECI","blocked","","","false","The exact diagram identifies a cabinet catch, not the visible door-side strike inspected by the current route."
"ge-gtd58ebsvws","GE","GTD58EBSVWS","GTD58EBSV0WS","promotable","WE01M10007","https://encompass.com/model/HOTGTD58EBSV0WS","true",""
"whirlpool-wed6150pb","Whirlpool","WED6150PB","WED6150PB0","promotable","W11429589","https://www.whirlpoolparts.com/Shop-For-Parts/a8b5d2467159/Model-WED6150PB0-Whirlpool-Dryer-Parts?n=3","true",""
"maytag-med6500mbk","Maytag","MED6500MBK","MED6500MBK0","blocked","","","false","Exact model parts results did not yield one separately serviceable visible door-side strike with an approved exact compatibility chain."
"electrolux-elfe7437aw","Electrolux","ELFE7437AW","ELFE7437AW0","blocked","","","false","Strike 5304532444 is a strong candidate, but the reviewed factory-certified model page did not expose one captured exact-code-to-SKU row in the retained evidence."
"samsung-dve54cg7150da3","Samsung","DVE54CG7150D/A3","DVE54CG7150D/A3","blocked","","","false","No equally exact reviewed BOM proves a separately serviceable visible door-side strike; whole-door candidates are not substituted."
