row_id,model_id,brand,model_family,symptom_id,decision,source_ids,reason
"kitchenaid-kdtm404kps__not-cleaning","kitchenaid-kdtm404kps","KitchenAid","KDTM404KPS","not-cleaning","promotable-guided-checks","kitchenaid-cleaning","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"kitchenaid-kdtm404kps__will-not-fill","kitchenaid-kdtm404kps","KitchenAid","KDTM404KPS","will-not-fill","promotable-guided-checks","kitchenaid-fill","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"kitchenaid-kdtm404kps__is-leaking","kitchenaid-kdtm404kps","KitchenAid","KDTM404KPS","is-leaking","promotable-guided-checks","kitchenaid-leak","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"samsung-dw80cg4021sr__not-cleaning","samsung-dw80cg4021sr","Samsung","DW80CG4021SR","not-cleaning","promotable-guided-checks","samsung-cleaning","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"samsung-dw80cg4021sr__will-not-fill","samsung-dw80cg4021sr","Samsung","DW80CG4021SR","will-not-fill","promotable-guided-checks","samsung-fill","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"samsung-dw80cg4021sr__is-leaking","samsung-dw80cg4021sr","Samsung","DW80CG4021SR","is-leaking","promotable-guided-checks","samsung-leak","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"amana-adb1400agw__not-cleaning","amana-adb1400agw","Amana","ADB1400AGW","not-cleaning","promotable-guided-checks","amana-cleaning","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"amana-adb1400agw__will-not-fill","amana-adb1400agw","Amana","ADB1400AGW","will-not-fill","promotable-guided-checks","amana-fill","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"amana-adb1400agw__is-leaking","amana-adb1400agw","Amana","ADB1400AGW","is-leaking","promotable-guided-checks","amana-leak","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"hotpoint-hdf310pgrww__not-cleaning","hotpoint-hdf310pgrww","Hotpoint","HDF310PGRWW","not-cleaning","promotable-guided-checks","hotpoint-model-manual","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"hotpoint-hdf310pgrww__will-not-fill","hotpoint-hdf310pgrww","Hotpoint","HDF310PGRWW","will-not-fill","promotable-guided-checks","hotpoint-model-manual","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"hotpoint-hdf310pgrww__is-leaking","hotpoint-hdf310pgrww","Hotpoint","HDF310PGRWW","is-leaking","promotable-guided-checks","hotpoint-model-manual","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"maytag-mdb4949skz__not-cleaning","maytag-mdb4949skz","Maytag","MDB4949SKZ","not-cleaning","promotable-guided-checks","maytag-cleaning","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"maytag-mdb4949skz__will-not-fill","maytag-mdb4949skz","Maytag","MDB4949SKZ","will-not-fill","promotable-guided-checks","maytag-fill","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"maytag-mdb4949skz__is-leaking","maytag-mdb4949skz","Maytag","MDB4949SKZ","is-leaking","promotable-guided-checks","maytag-leak","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"kitchenaid-kdfe204kps__not-cleaning","kitchenaid-kdfe204kps","KitchenAid","KDFE204KPS","not-cleaning","promotable-guided-checks","kitchenaid-cleaning","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"kitchenaid-kdfe204kps__will-not-fill","kitchenaid-kdfe204kps","KitchenAid","KDFE204KPS","will-not-fill","promotable-guided-checks","kitchenaid-fill","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"kitchenaid-kdfe204kps__is-leaking","kitchenaid-kdfe204kps","KitchenAid","KDFE204KPS","is-leaking","promotable-guided-checks","kitchenaid-leak","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"samsung-dw80r2031usaa__not-cleaning","samsung-dw80r2031usaa","Samsung","DW80R2031US/AA","not-cleaning","promotable-guided-checks","samsung-cleaning","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"samsung-dw80r2031usaa__will-not-fill","samsung-dw80r2031usaa","Samsung","DW80R2031US/AA","will-not-fill","promotable-guided-checks","samsung-fill","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"samsung-dw80r2031usaa__is-leaking","samsung-dw80r2031usaa","Samsung","DW80R2031US/AA","is-leaking","promotable-guided-checks","samsung-leak","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"samsung-dw80b6060usaa__not-cleaning","samsung-dw80b6060usaa","Samsung","DW80B6060US/AA","not-cleaning","promotable-guided-checks","samsung-cleaning","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"samsung-dw80b6060usaa__will-not-fill","samsung-dw80b6060usaa","Samsung","DW80B6060US/AA","will-not-fill","promotable-guided-checks","samsung-fill","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"samsung-dw80b6060usaa__is-leaking","samsung-dw80b6060usaa","Samsung","DW80B6060US/AA","is-leaking","promotable-guided-checks","samsung-leak","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"electrolux-edsh4944as__not-cleaning","electrolux-edsh4944as","Electrolux","EDSH4944AS","not-cleaning","promotable-guided-checks","electrolux-cleaning","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"electrolux-edsh4944as__will-not-fill","electrolux-edsh4944as","Electrolux","EDSH4944AS","will-not-fill","promotable-guided-checks","electrolux-fill","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"electrolux-edsh4944as__is-leaking","electrolux-edsh4944as","Electrolux","EDSH4944AS","is-leaking","promotable-guided-checks","electrolux-leak","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"samsung-dw80cg5450sraa__not-cleaning","samsung-dw80cg5450sraa","Samsung","DW80CG5450SR/AA","not-cleaning","promotable-guided-checks","samsung-cleaning","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"samsung-dw80cg5450sraa__will-not-fill","samsung-dw80cg5450sraa","Samsung","DW80CG5450SR/AA","will-not-fill","promotable-guided-checks","samsung-fill","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"samsung-dw80cg5450sraa__is-leaking","samsung-dw80cg5450sraa","Samsung","DW80CG5450SR/AA","is-leaking","promotable-guided-checks","samsung-leak","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"maytag-mdb8959skz__not-cleaning","maytag-mdb8959skz","Maytag","MDB8959SKZ","not-cleaning","promotable-guided-checks","maytag-cleaning","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"maytag-mdb8959skz__will-not-fill","maytag-mdb8959skz","Maytag","MDB8959SKZ","will-not-fill","promotable-guided-checks","maytag-fill","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"maytag-mdb8959skz__is-leaking","maytag-mdb8959skz","Maytag","MDB8959SKZ","is-leaking","promotable-guided-checks","maytag-leak","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"kitchenaid-kdte204kps__not-cleaning","kitchenaid-kdte204kps","KitchenAid","KDTE204KPS","not-cleaning","promotable-guided-checks","kitchenaid-cleaning","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"kitchenaid-kdte204kps__will-not-fill","kitchenaid-kdte204kps","KitchenAid","KDTE204KPS","will-not-fill","promotable-guided-checks","kitchenaid-fill","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"kitchenaid-kdte204kps__is-leaking","kitchenaid-kdte204kps","KitchenAid","KDTE204KPS","is-leaking","promotable-guided-checks","kitchenaid-leak","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"lg-ldfn4542s__door-will-not-close","lg-ldfn4542s","LG","LDFN4542S","door-will-not-close","promotable-guided-checks","lg-ldfn4542-door-manual","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"amana-adb1400agw__door-will-not-close","amana-adb1400agw","Amana","ADB1400AGW","door-will-not-close","promotable-guided-checks","amana-door","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"hotpoint-hdf310pgrww__door-will-not-close","hotpoint-hdf310pgrww","Hotpoint","HDF310PGRWW","door-will-not-close","promotable-guided-checks","hotpoint-model-manual","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"maytag-mdb4949skz__door-will-not-close","maytag-mdb4949skz","Maytag","MDB4949SKZ","door-will-not-close","promotable-guided-checks","maytag-door","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"lg-ldfn3432t__door-will-not-close","lg-ldfn3432t","LG","LDFN3432T","door-will-not-close","promotable-guided-checks","lg-ldfn3432-door-manual","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"lg-ldth7972s__door-will-not-close","lg-ldth7972s","LG","LDTH7972S","door-will-not-close","promotable-guided-checks","lg-ldth7972-door-manual","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"electrolux-edsh4944as__door-will-not-close","electrolux-edsh4944as","Electrolux","EDSH4944AS","door-will-not-close","promotable-guided-checks","electrolux-door","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"ge-gdp670sgvww__door-will-not-close","ge-gdp670sgvww","GE","GDP670SGVWW","door-will-not-close","promotable-guided-checks","ge-door","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"whirlpool-wdt540hamz__door-will-not-close","whirlpool-wdt540hamz","Whirlpool","WDT540HAMZ","door-will-not-close","promotable-guided-checks","whirlpool-door","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"maytag-mdb8959skz__door-will-not-close","maytag-mdb8959skz","Maytag","MDB8959SKZ","door-will-not-close","promotable-guided-checks","maytag-door","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"kitchenaid-kdte204kps__door-will-not-close","kitchenaid-kdte204kps","KitchenAid","KDTE204KPS","door-will-not-close","promotable-guided-checks","kitchenaid-door","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"lg-ldps6762s__door-will-not-close","lg-ldps6762s","LG","LDPS6762S","door-will-not-close","promotable-guided-checks","lg-ldps6762-door-manual","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
"bosch-shx5aem5n01__door-will-not-close","bosch-shx5aem5n01","Bosch","SHX5AEM5N/01","door-will-not-close","promotable-guided-checks","bosch-door","A current primary manufacturer source explicitly covers this dishwasher symptom and supports only the bounded external observations in the named safety profile."
